spkr_id,age,gender
pretrain-00j9bKdiOjk,35,female
pretrain-01GWGmg5jn8,41,male
pretrain-03h0dNZoxr8,52,male
pretrain-04SEzifEsGg,45,male
pretrain-04VbxnzUwes,61,male
pretrain-05jJodDVJRQ,50,male
pretrain-06M8qY7Q74Y,53,male
pretrain-08ZWROqoTZo,40,male
pretrain-0Amg53UuRqE,40,female
pretrain-0Bhk65bYSI0,60,female
pretrain-0C5UQbWzwg8,53,male
pretrain-0D9QIG36J9Q,34,male
pretrain-0FOlwct8k9M,54,male
pretrain-0FQXicAGy5U,45,male
pretrain-0FkuRwU8HFc,53,female
pretrain-0GL5r3HVAZ0,54,male
pretrain-0HEXx3SP8kk,49,male
pretrain-0HYakD8XQ88,26,female
pretrain-0ITHlySbhJE,44,male
pretrain-0JGarsZE1rk,36,female
pretrain-0K5OO2ybueM,45,male
pretrain-0LxPAY9yis8,54,male
pretrain-0MD4Ymjyc2I,54,male
pretrain-0MMSpsvqiG8,75,male
pretrain-0MYq1WJMmts,-1,-1
pretrain-0N1oA9LUEc4,38,male
pretrain-0N6cjPWqpSk,31,female
pretrain-0NV1KdWRHck,49,male
pretrain-0OkOQhXhsIE,27,child
pretrain-0P0mBj09vwk,45,male
pretrain-0PAy1zBtTbw,44,male
pretrain-0Q1owhv3qAA,30,female
pretrain-0QbLI1U4cLE,50,male
pretrain-0RUT1BoOPSM,43,male
pretrain-0S3YDofSvGs,44,female
pretrain-0S7tbjvnH3s,41,male
pretrain-0SFkPxScSM4,25,female
pretrain-0SUTgoPUTLQ,60,male
pretrain-0SW0HFy9Et4,48,female
pretrain-0Sdja9Ys4Sg,40,female
pretrain-0SkdP36wiAU,48,female
pretrain-0T2RS3ydRiY,32,female
pretrain-0TOkvcqeVQY,32,female
pretrain-0UmUgaJwEr0,40,male
pretrain-0Y8SIzP01lw,37,male
pretrain-0YNeyBANrTI,40,male
pretrain-0YeVt2kpSSo,37,male
pretrain-0ZOqbO2jIKg,38,female
pretrain-0ZhL7P7w3as,43,female
pretrain-0af00UcTOSc,46,male
pretrain-0akiEFwtkyA,39,female
pretrain-0bRocfcPhHU,35,female
pretrain-0bop3D7SdDM,35,female
pretrain-0d6iSvF1UmA,41,female
pretrain-0e3lCYwtm9o,-1,-1
pretrain-0g2WE1qXiKM,42,male
pretrain-0gMCZFHv9v8,36,male
pretrain-0hzSUUdTDUA,43,male
pretrain-0i7Loopex8w,46,male
pretrain-0iTehgSOZ8A,40,male
pretrain-0jmST6bSUoc,36,male
pretrain-0kPu6eKpja8,32,female
pretrain-0lS9NDZ8VZA,62,male
pretrain-0lYq5jXBfzE,39,female
pretrain-0nI65jgHG9o,44,male
pretrain-0oAJsPFH2wk,31,female
pretrain-0pzIPHWR3iY,41,female
pretrain-0qYTf9evWeY,42,male
pretrain-0sYguTPLpHE,33,female
pretrain-0snNB1yS3IE,31,female
pretrain-0tVGSTxcsSU,51,female
pretrain-0tqq66zwa7g,32,female
pretrain-0ueGFLVFi80,45,male
pretrain-0wpCZxiAQzw,54,female
pretrain-0x2SkWRB8SA,39,male
pretrain-0ygtX2nyexo,38,male
pretrain-0z03xkwFbw4,47,male
pretrain-0zbHnOcGbrw,46,male
pretrain-0zvrGiPkVcs,37,female
pretrain-10MvdLL2EpY,-1,-1
pretrain-11Mq9ZuxZMc,40,female
pretrain-12OAr0lt4bk,45,male
pretrain-12ud0nSTvro,45,female
pretrain-13rqtiAPISY,40,male
pretrain-14rYeATuCqQ,59,male
pretrain-150cqgYh8sQ,56,female
pretrain-16cMSRFid9U,42,male
pretrain-16p9YRF0lSg,67,male
pretrain-19Hj93IgbeQ,43,male
pretrain-19KkFCQz8WQ,55,male
pretrain-19MSMRPgPYc,48,female
pretrain-1BHOflzxPjI,45,female
pretrain-1BSSXUntiLg,59,female
pretrain-1BXYSGepx7Q,46,female
pretrain-1BaBMyMVvnw,36,male
pretrain-1BfMMoLYMlg,38,male
pretrain-1CN7PF10RKo,65,male
pretrain-1COwySxiwSg,35,male
pretrain-1CdmpHLSZRU,42,male
pretrain-1Dd2yCf3PyA,33,female
pretrain-1E6ysoASrY4,58,male
pretrain-1EHZAQmw2JA,44,female
pretrain-1EIQ6nSSXxk,33,female
pretrain-1G0MzlfMPuM,41,male
pretrain-1G8dQQrlbbA,42,male
pretrain-1Gtc0ounD5I,30,female
pretrain-1HIxnTruN78,41,female
pretrain-1Hok1iGFNSk,41,male
pretrain-1InHN8JPazA,37,male
pretrain-1IxIDGyISzk,35,male
pretrain-1JxxCB9GiGU,17,child
pretrain-1KFUSfbcwfw,36,female
pretrain-1KS10q6N2A8,38,male
